sa4_code,sa4_name,state_code,state_name,anzsic_division,anzsic_name,employed_persons
110,New England and North West,1,New South Wales,I,"Transport, Postal and Warehousing",3130
110,New England and North West,1,New South Wales,J,Information Media and Telecommunications,477
110,New England and North West,1,New South Wales,K,Financial and Insurance Services,1119
110,New England and North West,1,New South Wales,L,"Rental, Hiring and Real Estate Services",842
110,New England and North West,1,New South Wales,M,"Professional, Scientific and Technical Services",2963
110,New England and North West,1,New South Wales,N,Administrative and Support Services,2418
110,New England and North West,1,New South Wales,O,Public Administration and Safety,4742
110,New England and North West,1,New South Wales,P,Education and Training,8731
110,New England and North West,1,New South Wales,Q,Health Care and Social Assistance,11402
110,New England and North West,1,New South Wales,R,Arts and Recreation Services,690
110,New England and North West,1,New South Wales,S,Other Services,3099
110,New England and North West,1,New South Wales,_T,Total,80142
111,Newcastle and Lake Macquarie,1,New South Wales,A,"Agriculture, Forestry and Fishing",838
111,Newcastle and Lake Macquarie,1,New South Wales,B,Mining,4217
111,Newcastle and Lake Macquarie,1,New South Wales,C,Manufacturing,10066
111,Newcastle and Lake Macquarie,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",2472
111,Newcastle and Lake Macquarie,1,New South Wales,E,Construction,17879
111,Newcastle and Lake Macquarie,1,New South Wales,F,Wholesale Trade,3746
111,Newcastle and Lake Macquarie,1,New South Wales,G,Retail Trade,16832
111,Newcastle and Lake Macquarie,1,New South Wales,H,Accommodation and Food Services,13520
111,Newcastle and Lake Macquarie,1,New South Wales,I,"Transport, Postal and Warehousing",6875
111,Newcastle and Lake Macquarie,1,New South Wales,J,Information Media and Telecommunications,1547
111,Newcastle and Lake Macquarie,1,New South Wales,K,Financial and Insurance Services,6044
111,Newcastle and Lake Macquarie,1,New South Wales,L,"Rental, Hiring and Real Estate Services",2433
111,Newcastle and Lake Macquarie,1,New South Wales,M,"Professional, Scientific and Technical Services",12346
111,Newcastle and Lake Macquarie,1,New South Wales,N,Administrative and Support Services,5676
111,Newcastle and Lake Macquarie,1,New South Wales,O,Public Administration and Safety,11277
111,Newcastle and Lake Macquarie,1,New South Wales,P,Education and Training,18041
111,Newcastle and Lake Macquarie,1,New South Wales,Q,Health Care and Social Assistance,36827
111,Newcastle and Lake Macquarie,1,New South Wales,R,Arts and Recreation Services,2303
